City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
40,Lukulu,ZM,69.6,light rain,-14.37,23.24,Ruth Guest House
43,Savannah Bight,HN,79.39,light rain,16.45,-85.85,Villa on Dunbar Rock
45,Ambilobe,MG,76.03,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
53,Arraial Do Cabo,BR,75.97,light rain,-22.97,-42.03,Pousada Porto Praia
60,Kruisfontein,ZA,63.77,light rain,-34.0,24.73,Oyster Bay House Rental
65,Flinders,AU,71.01,light rain,-34.58,150.86,Shellharbour Resort & Conference Centre
88,Hermanus,ZA,66.0,light rain,-34.42,19.23,Misty Waves Boutique Hotel
115,Santo Antonio Do Amparo,BR,67.19,light rain,-20.95,-44.92,Hotel Pousada Dos Viajantes
125,East London,ZA,75.27,light rain,-33.02,27.91,Tu Casa
126,Port Alfred,ZA,68.0,light rain,-33.59,26.89,The Halyards Hotel
131,Sorland,NO,37.89,light rain,67.67,12.69,Sjybrygga fiskecamp
171,Uige,AO,67.98,light rain,-7.61,15.06,Juliao Pereira
174,Wismar,DE,46.99,light rain,53.9,11.47,Vienna House Stadt Hamburg Wismar
182,Dzaoudzi,YT,80.6,moderate rain,-12.79,45.27,Le Rocher
186,Sao Joao Da Barra,BR,75.88,moderate rain,-21.64,-41.05,Pousada Porto De Canoas
189,Kimbe,PG,82.24,moderate rain,-5.55,150.14,Kimbe Bay Hotel
190,Bredasdorp,ZA,64.4,light rain,-34.53,20.04,Bredasdorp Country Manor
208,Namatanai,PG,85.39,light rain,-3.67,152.43,Namatanai Hotel
225,Bengkulu,ID,73.8,light rain,-3.8,102.27,Grage Hotel Bengkulu
236,Silopi,TR,44.76,light rain,37.25,42.47,Grand Hotel
241,Hithadhoo,MV,82.22,light rain,-0.6,73.08,Scoop Guest House
259,Mahanoro,MG,78.73,light rain,-19.9,48.8,Hôtel Mon Désir
260,Quelimane,MZ,79.99,light rain,-17.88,36.89,Hotel Flamingo
278,Mocajuba,BR,77.74,light rain,-2.58,-49.51,Hotel Tocantins
285,Atambua,ID,81.07,light rain,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
300,Castelo Do Piaui,BR,74.05,light rain,-5.32,-41.55,Nobre Hotel
320,Lerwick,GB,46.4,light rain,60.15,-1.15,The Lerwick Hotel
361,Piripiri,BR,75.18,moderate rain,-4.27,-41.78,Califórnia Hotel
366,Trincomalee,LK,72.84,light rain,8.57,81.23,Welcombe Hotel
374,Tarakan,ID,78.17,light rain,3.3,117.63,Hotel D' CaLia Tarakan
376,Santa Isabel Do Rio Negro,BR,76.03,light rain,-0.41,-65.02,Hotel GSA
397,Ailigandi,PA,75.94,light rain,9.23,-78.02,akwa reef lodge
403,Pangoa,PE,72.63,light rain,-12.12,-73.0,
405,Mackay,AU,89.01,light rain,-21.15,149.2,International Lodge Motel
422,Mweka,CD,70.14,moderate rain,-4.85,21.57,
431,Vao,NC,77.18,light rain,-22.67,167.48,Hotel Kou-Bugny
434,Sinnamary,GF,79.41,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
437,Humaita,BR,76.48,light rain,-7.51,-63.02,Corrêa Hotel
439,Malinyi,TZ,73.15,light rain,-8.93,36.13,
453,Ulladulla,AU,69.01,light rain,-35.35,150.47,Sandpiper Motel
462,Sao Paulo De Olivenca,BR,76.39,light rain,-3.38,-68.87,
467,Nkhotakota,MW,78.87,moderate rain,-12.93,34.3,Sitima Inn
497,Brejo,BR,74.98,light rain,-3.68,-42.75,Hotel E Pousada Muypuras
520,Tual,ID,83.01,light rain,-5.67,132.75,Grand Vilia Hotel
